,message,created_time
0,[17:08] 올림픽대로 하남방향(동호대교→성수대교) 하위차로 추돌사고 처리작업 진행중이니 구간 참고하셔서 안전운행하시기 바랍니다. https://t.co/afDncLn0mk,2019-05-14 17:08:18
1,[17:07] 공항대로(김포공항입구→송정역) 하위차로에서 진행중이던 추돌사고 처리작업 완료되어 정상소통됩니다. https://t.co/Hj8lnwGD87,2019-05-14 17:07:38
2,[17:04] 올림픽대로 하남방향(동호대교→성수대교) 하위차로에서 진행중이던 추돌사고 처리작업 완료되어 정상소통됩니다. 후미 반포대교부터 정체되니 운행참고하시기 바랍니다. https://t.co/60qxqYyX10,2019-05-14 17:05:43
3,[16:56] 오전부터 진행된 은평로(응암역→서부병원앞) 하위차로 공사 계속해서 작업 진행중이니 구간 참고운행하시기 바랍니다. https://t.co/kjygtmIkjR,2019-05-14 16:56:54
4,[16:54] 통일로(구파발→박석고개) 4차로에서 공사 작업 진행중이니 운행참고하시기 바랍니다. https://t.co/cJNSN8gIM8,2019-05-14 16:54:56
5,[16:50]  양재대로(길동사거리→둔촌동역) 1차로 공사 작업 완료되어 정상소통됩니다. 반대방향 2차로 공사 아직 진행중이니 운행참고하시기 바랍니다. https://t.co/xuv6U6rcRL,2019-05-14 16:50:29
6,[16:48] 남부순환로(대치교서단→학여울역) 하위차로에서 진행중이던 추돌사고 처리작업 완료되어 정상소통됩니다. https://t.co/RrZmBBAQFo,2019-05-14 16:48:54
7,"[16:45]  양재대로(둔촌동역→길동사거리) 공사로 2차로 차단중이며 반대방향 1차로 차단중이니 구간 참고운행하시기 바랍니다, https://t.co/NK0bCTFCA6",2019-05-14 16:46:58
8,[16:40] 남부순환로(대치교서단→학여울역) 4차로 추돌사고 하위차로로 이동하여 처리작업 진행중이니 운행참고하시기 바랍니다. https://t.co/HJZ5ExRue2,2019-05-14 16:40:48
9,[16:38] 반포대로 예술의전당방향 터미널고가차도上 2차로 추돌사고 소식입니다. 반포대로(서울성모병원→서초역) 5차로로 이동하여 사고 처리작업 진행중이니 운행참고하시기 바랍니다. https://t.co/qxkmwNePRL,2019-05-14 16:38:27
10,[16:33]강변북로 구리방향(천호대교→구리시계) 1차로 공사 구간 이동하며 작업 진행중이니 운행참고하시기 바랍니다. https://t.co/ICfc38EIwG,2019-05-14 16:34:14
11,[16:32] 남부순환로(대치교서단→학여울역) 4차로 추돌사고 처리작업 진행중이니 구간 참고운행하시기 바랍니다. https://t.co/CDw9Sw2Gdt,2019-05-14 16:33:25
12,[16:32] 올림픽대로 김포방향(한남대교→반포대교) 5차로 추돌사고 처리작업 완료되어 정상소통됩니다. 후미 성수대교부터 정체되니 운행참고하시기 바랍니다. https://t.co/atJq1rABU2,2019-05-14 16:32:46
13,[16:30] 올림픽대로 하남방향(동호대교→성수대교) 4차로 추돌사고 하위차로로 이동하여 처리작업 진행중이니 구간 참고운행하시기 바랍니다. https://t.co/FxzwmHX49A,2019-05-14 16:30:37
14,[16:25] 올림픽대로 하남방향(동호대교→성수대교) 4차로 추돌사고 소식입니다. 사고 처리작업 진행중이니 구간 참고운행하시기 바랍니다. https://t.co/GQduXYAvJ5,2019-05-14 16:26:32
15,[16:21] 올림픽대로 김포방향(한남대교→반포대교) 5차로 추돌사고 처리작업 진행중이니 구간 참고운행하시기 바랍니다. https://t.co/REiIorI0ue,2019-05-14 16:21:23
16,"[16:10] 공항대로(김포공항입구→송정역) 1,2차로 추돌사고 소식입니다. 하위차로로 이동하여 처리작업 진행중이니 구간 참고운행하시기 바랍니다. https://t.co/3qRjZL7Hf5",2019-05-14 16:11:26
17,[15:55] 동부간선로 성수JC방향(노원교→상계교) 2차로 추돌사고 소식입니다. 사고 처리작업 진행중이니 구간 참고운행하시기 바랍니다. https://t.co/0Q0K66edn0,2019-05-14 15:55:58
18,[15:46] 동호대교(남단→북단) 1차로 고장차량 소식입니다. 처리작업 진행중이니 구간 주의운행하시기 바랍니다. https://t.co/tUA1sewo7j,2019-05-14 15:46:49
19,[15:26] 강변북로 구리방향(청담대교→잠실대교) 3차로 공사 구간 이동하여 계속해서 작업 진행중이니 운행참고하시기 바랍니다. https://t.co/aRvQTlxlWM,2019-05-14 15:26:48
20,[15:17] 강변북로 일산방향(서강대교→양화대교) 1차로 고장차량 처리작업 완료되어 정상소통됩니다. 후미 한남대교부터 지정체되니 운행참고하시기 바랍니다. https://t.co/DDJBiIaBdP,2019-05-14 15:18:14
21,[15:13] 동부간선로 성수JC방향(수락→노원교) 2차로 공사 작업은 완료되었으나 구간 부분통제되며 반대방향 하위차로 공사 진행중이니 운행참고하시기 바랍니다. https://t.co/upp6Ovowo0,2019-05-14 15:13:48
22,[15:07] 내부순환로 성수JC방향(마장→사근) 3차로 공사 (사 근→성동JC) 구간 이동하여 작업 진행중이니 운행참고하시기 바랍니다. https://t.co/dkjZVC1DX4,2019-05-14 15:08:33
23,[15:01] 내부순환로 성산방향(사근→마장) 3차로 고장차량 빠르게 처리작업 완료되어 정상소통됩니다. 반대방향 3차로 공사 계속해서 진행중이니 운행참고하시기 바랍니다. https://t.co/ZpIiv21bMQ,2019-05-14 15:02:40
24,[14:54]  강변북로 일산방향(서강대교→양화대교) 1차로 고장차량 처리작업 진행중이니 구간 참고운행하시기 바랍니다. https://t.co/LBLbjuV9So,2019-05-14 14:54:51
25,[14:50] 남부순환로(시흥IC→구로IC) 4차로 공사 소식입니다. 반대방향 6차로 공사도 진행중이니 양방향 주의운행하시기 바랍니다. https://t.co/cIyCjeqxjm,2019-05-14 14:51:24
26,[14:43] 올림픽대로 김포방향(영동대교→성수대교) 5차로 공사 4차로로 이동하여 작업 진행중이니 구간 참고운행하시기 바랍니다. https://t.co/au7f5cBpvN,2019-05-14 14:44:27
27,[14:42] 오전부터 진행된 동부간선로 의정부방향(월계1교→녹천교) 3차로 공사 계속해서 작업 진행중이니 구간 참고운행하시기 바랍니다. https://t.co/dSlPDbh0dy,2019-05-14 14:43:32
28,[14:41] 내부순환로 성수JC방향(마장→사근) 3차로 공사 구간 이동하며 작업 진행중이니 운행참고하시기 바랍니다. https://t.co/3GieJr1IcJ,2019-05-14 14:41:23
29,[14:33] 강변북로 구리방향(영동대교→청담대교) 차선도색 공사 (청담대교→잠실대교) 3차로로 구간 이동하여 작업 진행중이니 운행참고하시기 바랍니다. https://t.co/NQCsb0OSK0,2019-05-14 14:34:46
30,[14:29] 한 시간 전부터 진행된 올림픽대로 김포방향(올림픽대교→잠실철교) 4차로 공사 계속해서 작업 진행중입니다. 구간 참고하셔서 안전운행하시기 바랍니다. https://t.co/FIgO1kkVc0,2019-05-14 14:29:37
31,[14:27] 오전부터 진행된 올림픽대로 김포방향(영동대교→성수대교) 5차로 공사 계속해서 작업 진행중이니 구간 참고운행하시기 바랍니다. https://t.co/Sdq2Xc17SJ,2019-05-14 14:28:26
32,[14:24]  동부간선도로 의정부방향(노원교→수락지하차도) 공사 작업 완료되어 정상소통됩니다. 반대방향 2차로 공사 진행중이니 운행참고하시기 바랍니다. https://t.co/I0Ynjtt1Be,2019-05-14 14:24:25
33,"[13:51]  동부간선로 의정부 방향 월계1교→녹천교 구간 시설물보수 1차로 통제해제, 3차로에서 진행중입니다. 운행에 참고하시기 바랍니다. https://t.co/EYTG6zMysJ",2019-05-14 13:51:05
34,"[13:47]  통일로 구파발 → 박석고개 공사 2차로 추가차단, 2,4차로에서 공사 진행중이니 운행에 참고하세요. https://t.co/KlK7FEHrY2",2019-05-14 13:47:33
35,[13:30] 남부순환로 구로IC ↔ 디지털오거리 양방향 하위차로 공사 진행되면서 구간 지정체되니 운행에 참고하세요. https://t.co/vcgRa9ISd7,2019-05-14 13:30:22
36,[13:09] 양화로 홍대입구역 → 서교동사거리 하위차로 공사 진행중입니다. 구간 정체되니 운행에 참고하시기 바랍니다. https://t.co/BUlUpe2VEy,2019-05-14 13:09:11
37,[13:06]  양재대로 둔촌동역 → 길동사거리 공사차로 확대하여 진행중입니다. 구간 정체되니 운행에 참고하시기 바랍니다. https://t.co/IUMvK6Dm6b,2019-05-14 13:07:10
38,[13:04] 동소문로 미아사거리 → 길음역사거리 하위차로 공사 진행중입니다. 구간 정체되니 운행에 참고하세요. https://t.co/OH4Oe33G5u,2019-05-14 13:04:51
39,[13:02] 반포대로 → 사평대로 우회전로 강남성모병원 부근 공사 진행중이니 구간 운행에 참고하시기 바랍니다. https://t.co/rEl209D2Yv,2019-05-14 13:03:00
40,"[13:00]  동부간선로 의정부 방향 월계1교→녹천교 구간 시설물보수 1차로 추가차단, 1,3차로에서 진행중입니다. 운행에 참고하시기 바랍니다. https://t.co/fp35MODQHH",2019-05-14 13:00:12
41,[12:58] 은평로 응암역 → 서부병원앞 하위차로 공사 진행중입니다. 구간 서행되니 운행에 참고하시기 바랍니다. https://t.co/R9sqHPBSC4,2019-05-14 12:59:02
42,"[12:57]  통일로 구파발 → 박석고개 공사 3차로 통제해제, 4차로에서 진행중이니 운행에 참고하시기 바랍니다. https://t.co/aFiNPReXvG",2019-05-14 12:58:02
43,[12:55] 올림픽로 선사사거리 → 암사역 하위차로 공사 진행중입니다. 운행에 참고하시기 바랍니다. https://t.co/XBexjDwF0M,2019-05-14 12:56:02
44,[12:54] 학동로 서울세관사거리 → 강남구청역 3차로 공사 진행중입니다. 구간 서행되니 안전운전 하시기 바랍니다. https://t.co/xnfdfoObew,2019-05-14 12:54:47
45,[12:49]  난계로 청계8가사거리 → 황학사거리 하위차로 공사로 차단중이며 구간 서행됩니다. 운행에 참고하시기 바랍니다. https://t.co/jeJoanlAvl,2019-05-14 12:49:39
46,[12:46] 종로 동묘앞역 → 신설동역 하위차로 공사 진행중입니다. 구간 서행되니 운행에 참고하시기 바랍니다. https://t.co/I1cqVjcwZh,2019-05-14 12:47:08
47,[12:44] 소파로 퇴계로2가교차로 → 백범광장1차로 공사 완료됐습니다. 반대방향 하위차로에서 공사 진행중이니 운행에 참고하세요. https://t.co/X2rbgwlbp3,2019-05-14 12:44:46
48,[12:29]  안양천로 금천육교 → 시흥대교교차로 4차로 공사 진행중입니다. 구간 서행되니 운행에 참고하시기 바랍니다. https://t.co/NUrDsicI3r,2019-05-14 12:29:16
49,[12:26] 서울시립대로 전농동동아아파트 → 전농1동교차로 하위차로 공사 진행중입니다. 구간 서행되니 운행에 참고하시기 바랍니다. https://t.co/4HnAffhUkJ,2019-05-14 12:27:01
50,[12:25]  방배로 경남아파트 → 방배역 3차로 공사 진행중입니다. 구간 소통 원활합니다. 안전운전 하시기 바랍니다. https://t.co/saciucoDho,2019-05-14 12:26:00
51,[12:21] 소파로 퇴계로2가교차로 → 백범광장 공사 하위차로로 이동하여 계속되고 있습니다. 양방향 하위차로 차단중이니 운행에 참고하세요. https://t.co/pV4IJ9qrrr,2019-05-14 12:21:33
52,[12:18] 용마산로 용곡삼거리 →중곡사거리 2차로 공사 완료됐습니다. 반대방향 3차로 공사는 완료되었으나 차량으로 차단중이니 운행에 참고하시기 바랍니다 . https://t.co/mtXzNYBb8s,2019-05-14 12:18:29
53,[12:05] 남부순환로 구로IC ↔ 디지털오거리 양방향 하위차로 공사로 차단중이니 주의운전 하시기 바랍니다. https://t.co/JbH0lk8CdU,2019-05-14 12:05:26
54,[11:58] 시흥대로 대림삼거리 → 대림사거리 하위차로 공사 4차로로 이동하여 진행중입니다. 운행에 참고하세요. https://t.co/ophYNieoby,2019-05-14 11:58:41
55,[11:56] 강변북로 구리 방향 한강대교북단→동작대교북단 구간 고장차량 처리작업중입니다. 구간 정체되니 운행에 참고하시기 바랍니다. https://t.co/vF2Hq8dOFq,2019-05-14 11:56:13
56,[11:53] 올림픽대로 하남방향 가양대교 → 성산대교 1차로 고장차량 처리중입니다. 여파로 후미 방화대교까지 지정체되니 운행에 참고하세요. https://t.co/pEsMEwq2jI,2019-05-14 11:53:39
57,[11:39] 강변북로 일산 방향 잠실대교북단→청담대교북단 구간 추돌사고 처리 완료됐습니다. 구간 정체되니 안전운전하세요. https://t.co/i6EDsBRrYD,2019-05-14 11:39:33
58,[11:27] 소파로 퇴계로2가교차로 → 백범광장 공사 1차로로 이동하였습니다. 반대방향 하위차로도 차단중이니 주의운전 하시기 바랍니다. https://t.co/c197GWD3JK,2019-05-14 11:27:48
59,[11:25] 내부순환로 성산방향 길 음 → 정 릉 3차로 고장차량 여파로 구간 정체됩니다. 운행에 참고하시기 바랍니다. https://t.co/NrEthN7brs,2019-05-14 11:25:18
60,[11:24] 올림픽대로 김포방향 한강대교 → 여의상류 5차로 추돌사고 여파로 구간 정체됩니다. 운행에 참고하시기 바랍니다. https://t.co/y309xeqstl,2019-05-14 11:24:29
61,[11:17] 강변북로 구리방향 한강대교 → 동작대교 2차로 고장차량 여파로 후미 서강대교 이전부터 지정체됩니다. 운행에 참고하시기 바랍니다. https://t.co/K5SSGquwYL,2019-05-14 11:17:06
62,[11:13] 동부간선로 의정부 방향 월계1교→녹천교 구간 시설물보수로 구간 정체됩니다 운행에 참고하시기 바랍니다. https://t.co/umCtUK4L3p,2019-05-14 11:13:51
63,[11:02] 동부간선도로 성수JC방향 월계1교 → 월릉JC 3차로 공사 여파로 후미 수락지하차도까지 지정체됩니다. 운행에 참고하시기 바랍니다. https://t.co/khg9PsoISI,2019-05-14 11:02:13
64,[10:59] 올림픽대로 하남방향 가양대교 → 성산대교 4차로 공사 이동하며 진행중입니다. 구간 정체되니 운행에 참고하세요. https://t.co/mQyxDanou3,2019-05-14 10:59:25
65,[10:53] 강변북로 일산 방향 잠실대교북단→청담대교북단 2차로 추돌사고 처리중입니다. 여파로 후미 올림픽대교까지 지정체되니 운행에 참고하세요. https://t.co/iSOmVzM7Uv,2019-05-14 10:53:19
66,"[10:48]  양재대로 둔촌동역 → 길동사거리 공사 3차로 통제해제, 1,2,차로와 반대방향 1,2차로 차단하여 진행중이니 운행에 참고하세요. https://t.co/BvG0vuoOwX",2019-05-14 10:48:52
67,[10:42] 통일로 구파발 → 박석고개 공사차로 변경되어 2차로와 하위차로 차단중입니다. 주의운전 하시기 바랍니다. https://t.co/0Ax7xsSqp4,2019-05-14 10:42:43
68,[10:09] 올림픽대로 하남방향 방화대교 → 가양대교 1차로 고장차량 처리중입니다. 후미 행주대교까지 지정체되니 운행에 참고하세요. https://t.co/sksOFTeU3e,2019-05-14 10:09:16
69,[10:00] 올림픽대로 김포방향 청담대교 → 영동대교 5차로 녹지작업공사 진행중이니 주의운전 하시기 바랍니다. https://t.co/2a9GEioiIf,2019-05-14 10:00:18
70,"[09:54] 통일로 구파발 → 박석고개 3,4차로 공사 진행중이니 주의운전 하시기 바랍니다. https://t.co/GBz5C6zI3T",2019-05-14 09:55:05
71,[09:41] 올림픽로 선사사거리 → 암사역 하위차로 공사 진행중이니 주의운전 하시기 바랍니다. https://t.co/fUSPfHSuqS,2019-05-14 09:41:52
